ID,GUZERGAH_A,GUZERGAH_K,HAT_ADI,HAT_KODU,DEPAR_NO,DURUM,UZUNLUK,HAT_BASI,HAT_SONU,YON,HAT_ID,SURE,RING_MI,B_NOKTASI,latitude,longitude
23532,BEYOĞLU TÜNEL  -  TAKSİM MEYDAN,T2_D_D0,TAKSİM - TÜNEL,T2,0,AKTİF,20811.0,TAKSİM MEYDAN,BEYOĞLU TÜNEL,DÖNÜŞ,842,30209.0,HAYIR,0,41.03310829125337,28.979226082180244
23638,ÇİFTEÇINARLAR - ÜMRANİYE EĞİTİM VE ARAŞTIRMA HASTANESİ,20_G_D1981,ORTAÇEŞME / KAVACIK - Ü.EĞT.ARŞ.HASTANESİ,20,1981,AKTİF,2610887.0,ÇİFTEÇINARLAR,ÜMRANİYE EĞİTİM VE ARAŞTIRMA HASTANESİ,GİDİŞ,672,378999.00000000006,HAYIR,0,41.08434532922416,29.109279495751004
23639,ÜMRANİYE EĞİTİM VE ARAŞTIRMA HASTANESİ - ÇİFTEÇINARLAR,20_D_D1982,ORTAÇEŞME / KAVACIK - Ü.EĞT.ARŞ.HASTANESİ,20,1982,AKTİF,2960271.0,ÇİFTEÇINARLAR,ÜMRANİYE EĞİTİM VE ARAŞTIRMA HASTANESİ,DÖNÜŞ,672,429719.00000000006,HAYIR,0,41.07620679318069,29.10747369339083
23686,BATTALGAZİ MAHALLESİ  -  SULTANBEYLİ PERONLAR,131SB_D_D0,SULTANBEYLİ MERKEZ-SULTANBEYLİ YENİ DEVLET HAST.,131SB,0,AKTİF,1929712.0,SULTANBEYLİ PERONLAR,BATTALGAZİ MAHALLESİ,DÖNÜŞ,1531,279001.0,HAYIR,0,40.967894271974224,29.265966939270232
23688,EVTAŞ BLOKLARI - BULGURLU METRO,11M_G_D1985,EVTAŞ BLOKLARI - BULGURLU METRO,11M,1985,AKTİF,1075618.0,EVTAŞ BLOKLARI,SEREN SOKAK,GİDİŞ,133,156136.0,HAYIR,0,41.00941645618116,29.102336534530014
780,ESENKENT GİRİŞ - BOĞAZKÖY SON DURAK,146_G_D7966,BOĞAZKÖY / BAHÇEŞEHİR - BAKIRKÖY,146,7966,AKTİF,6018856.0,BOĞAZKÖY SON DURAK,BAKIRKÖY,GİDİŞ,54,871808.0,EVET,131941,41.007810398798114,28.753027683456597
2701,4.LEVENT - CEVİZLİBAĞ,500L_G_D0,LEVENT - CEVİZLİBAĞ,500L,0,AKTİF,178571.0,4.LEVENT,CEVİZLİBAĞ,GİDİŞ,707,259214.0,HAYIR,0,41.06644144979698,28.95964712347332
783,BAŞAKŞEHİR METROKENT  -  EMİNÖNÜ,146B_G_D7734,METROKENT-EMİNÖNÜ,146B,7734,AKTİF,3010232.0000000005,BAŞAKŞEHİR METROKENT,EMİNÖNÜ,GİDİŞ,53,43697.0,HAYIR,0,41.05938440313059,28.8649039888536
55737,CİN DERESİ  -  EMİNÖNÜ,70FE_G_D8543,FERİKÖY - EMİNÖNÜ,70FE,8543,AKTİF,48665.0,CİN DERESİ,EMİNÖNÜ,GİDİŞ,247,70643.0,HAYIR,0,41.03238281770955,28.970064675971443
1853,KOCA MUSTAFAPAŞA -  EMİNÖNÜ,35_G_D5105,KOCAMUSTAFAPAŞA - EMİNÖNÜ,35,5105,AKTİF,110569.0,KOCA MUSTAFAPAŞA,EMİNÖNÜ,GİDİŞ,370,160502.0,EVET,313031,41.01410766033762,28.95353612838356
2038,ÇIRÇIR METRO  -  VEZNECİLER,37Y_G_D0,ÇIRÇIR METRO - VEZNECİLER,37Y,0,AKTİF,1402746.0,ÇIRÇIR METRO,VEZNECİLER,GİDİŞ,351,203624.0,HAYIR,0,41.05115872782065,28.932075032994536
