ID,ADI,DURAK_KODU,DURUMU,DURAK_TIPI,YON_BILGIS,SON_GUNCEL,YAPILIS_TA,ILCEID,MAHALLEID,VERSIYON,CEP_VAR,latitude,longitude
510383,MALTEPE BELEDİYESİ,225301,1,CCMODERN,KADIKÖY,01.06.2020 00:00:00,02.01.2016 00:00:00,2012,40612,"2,02006E+14",0.0,40.9318280005427,29.1283029999918
510385,SİDAR SOKAK,225311,1,CCMODERN,KADIKÖY,13.12.2018 00:00:00,02.01.2016 00:00:00,2012,40612,"2,01812E+14",0.0,40.9297990005426,29.1291489999921
510386,SİDAR SOKAK,225312,1,CCMODERN,PENDİK,01.01.1976 00:00:00,02.01.2016 00:00:00,2012,40610,"2,01807E+14",1.0,40.9296310005426,29.1289829999921
510393,ESENYURT,225342,1,İETTBAYRAK,PENDİK,08.09.2023 00:00:00,02.01.2016 00:00:00,2012,40614,"2,02309E+14",0.0,40.9189050005409,29.1408009999923
510396,TUGAY YOLU,225361,1,İETTBAYRAK,KADIKÖY,07.12.2023 00:00:00,02.01.2016 00:00:00,2012,40614,"2,02312E+14",1.0,40.9152170005404,29.1493139999924
510398,CEVİZLİ,225371,1,CCMODERN,KADIKÖY,01.01.1976 00:00:00,02.01.2016 00:00:00,2012,40614,"2,01807E+14",1.0,40.91250700054,29.1536259999925
510400,ALTINTEPE,225681,1,CCMODERN,KADIKÖY,01.01.1976 00:00:00,02.01.2016 00:00:00,2012,40617,"2,01807E+14",1.0,40.9592010005474,29.1116459999918
510402,KADİR HAS ANADOLU LİSESİ,225691,1,CCMODERN,KADIKÖY E-5,07.05.2020 00:00:00,02.01.2016 00:00:00,2012,40617,"2,02005E+14",0.0,40.9536999991179,29.117500000011
510405,KADİR HAS ANADOLU LİSESİ,225694,1,IETTCAMLI,KÜÇÜKYALI LOJMANLAR,07.05.2020 00:00:00,02.01.2016 00:00:00,2012,40617,"2,02005E+14",0.0,40.9536080444547,29.1179110306242
578409,SEFA SOKAK,132181,1,İETTBAYRAK,GÜNGÖREN-HAZNEDAR,01.01.1976 00:00:00,02.01.2016 00:00:00,2010,40501,"2,01807E+14",2.0,41.0101080005553,28.8710129999859
578410,FAKÜLTE B KAPISI,132631,1,İETTBAYRAK,EMİNÖNÜ,01.01.1976 00:00:00,02.01.2016 00:00:00,2010,40498,"2,01808E+14",2.0,41.0296550005584,28.8898569999865
578413,ÜNİVERSİTE CAMİİ,132642,1,AÇIK DURAK,DAVUTPAŞA,01.01.1976 00:00:00,02.01.2016 00:00:00,2010,40498,"2,01802E+14",0.0,41.0288089868431,28.8885389931668
510913,ANAKENT KOLEJİ,227181,1,CCMODERN,GÖZTEPE KÖPRÜSÜ,01.01.1976 00:00:00,02.01.2016 00:00:00,1421,40519,"2,01807E+14",2.0,40.9881420005519,29.0739929999911
510915,MERDİVENKÖY,227191,1,İETTBAYRAK,YENİSAHRA,01.01.1976 00:00:00,02.01.2016 00:00:00,1421,40519,"2,01807E+14",2.0,40.9865500005517,29.0750359999911
510769,MARMARA ÜNİVERSİTESİ GÖZTEPE YERLEŞKESİ,225052,1,WALLMODERN,KADIKÖY,17.01.2020 00:00:00,02.01.2016 00:00:00,1421,40516,"2,02001E+14",1.0,40.9850330005514,29.0516469999907
510770,MUSTAFA MAZHAR BEY SOKAK,259302,1,WALLMODERN,KADIKÖY,22.06.2021 00:00:00,02.01.2016 00:00:00,1421,40519,"2,02106E+14",1.0,40.9841400005513,29.0591419999908
510771,MUSTAFA MAZHAR BEY SOKAK,259303,1,WALLMODERN,PENDİK,22.06.2021 00:00:00,02.01.2016 00:00:00,1421,40515,"2,02106E+14",1.0,40.9838539991172,29.0594420000113
510774,GÖZTEPE,225081,1,WALLMODERN,KADIKÖY,01.01.1976 00:00:00,02.01.2016 00:00:00,1421,40519,"2,01807E+14",1.0,40.9815850005509,29.069428999991
510775,GÖZTEPE,225082,1,WALLMODERN,PENDİK,01.01.1976 00:00:00,02.01.2016 00:00:00,1421,40520,"2,01807E+14",1.0,40.9812720005508,29.069813999991
510776,GÖZTEPE,225083,1,İETTBAYRAK,BAĞDAT CAD. GZ2,01.01.1976 00:00:00,02.01.2016 00:00:00,1421,40520,"2,01807E+14",2.0,40.9811670005509,29.067915999991
510778,SAHRAYICEDİT CAMİİ,225091,1,İETTBAYRAK,KADIKÖY,15.12.2022 00:00:00,02.01.2016 00:00:00,1421,40524,"2,02212E+14",1.0,40.9803689991173,29.0753580000113
510780,ETHEMEFENDİ,225101,1,WALLMODERN,KADIKÖY,01.01.1976 00:00:00,02.01.2016 00:00:00,1421,40525,"2,01807E+14",2.0,40.9778720005503,29.0786179999912
510783,ETHEMEFENDİ,225104,1,İETTBAYRAK,ZİVERBEY,01.01.1976 00:00:00,02.01.2016 00:00:00,1421,40524,"2,01807E+14",2.0,40.9771830005502,29.0766689999912
510785,TÜCCARBAŞI,225112,1,CCMODERN,PENDİK,15.01.2020 00:00:00,02.01.2016 00:00:00,1421,40524,"2,02001E+14",0.0,40.9756430005499,29.0798279999912
